heading_ID,name_he,label
heading871,288.0,heading
heading872,338.2,heading
heading873,259.0,heading
heading874,108.8,heading
heading875,201.40001,heading
heading876,123.4,heading
heading877,84.0,heading
heading878,15.0,heading
heading879,275.0,heading
heading880,276.80002,heading
heading881,82.0,heading
heading882,186.0,heading
heading883,89.6,heading
heading884,261.2,heading
heading885,95.0,heading
heading886,0.0,heading
heading887,249.1,heading
heading888,108.0,heading
heading889,120.4,heading
heading890,353.6,heading
heading891,86.6,heading
heading892,305.3,heading
heading893,160.0,heading
heading894,304.0,heading
heading895,274.2,heading
heading896,347.6,heading
heading897,180.2,heading
heading898,111.7,heading
heading899,22.300001,heading
heading900,329.9,heading
heading901,32.2,heading
heading902,57.7,heading
heading903,299.2,heading
heading904,255.0,heading
heading905,31.2,heading
heading906,130.5,heading
heading907,73.4,heading
heading908,55.9,heading
heading909,357.5,heading
heading910,220.6,heading
heading911,119.2,heading
heading912,170.6,heading
heading913,38.4,heading
heading914,103.6,heading
heading915,93.3,heading
heading916,109.4,heading
heading917,341.1,heading
heading918,67.200005,heading
heading919,334.4,heading
heading920,194.2,heading
heading921,120.0,heading
heading922,242.2,heading
heading923,138.0,heading
heading924,177.1,heading
heading925,141.1,heading
heading926,60.4,heading
heading927,273.0,heading
heading928,80.4,heading
heading929,230.0,heading
heading930,65.9,heading
heading931,177.1,heading
heading932,272.6,heading
heading933,85.6,heading
heading934,263.6,heading
heading935,103.700005,heading
heading936,346.3,heading
heading937,245.4,heading
heading938,159.7,heading
heading939,88.2,heading
heading940,341.2,heading
heading941,260.0,heading
heading942,268.0,heading
heading943,295.4,heading
heading944,277.6,heading
heading945,282.2,heading
heading946,302.0,heading
heading947,72.9,heading
heading948,106.0,heading
heading949,53.7,heading
heading950,35.6,heading
heading951,177.4,heading
heading952,264.7,heading
heading953,11.1,heading
heading954,68.6,heading
heading955,155.40001,heading
heading956,18.6,heading
heading957,173.0,heading
heading958,95.200005,heading
heading959,42.3,heading
heading960,30.0,heading
heading961,179.40001,heading
heading962,314.7,heading
heading963,259.3,heading
heading964,293.30002,heading
heading965,352.7,heading
heading966,289.0,heading
heading967,311.9,heading
heading968,59.9,heading
heading969,281.0,heading
heading970,343.5,heading
heading971,101.0,heading
heading972,174.3,heading
heading973,5.3,heading
heading974,46.4,heading
heading975,297.5,heading
heading976,336.4,heading
heading977,276.6,heading
heading978,227.3,heading
heading979,353.0,heading
heading980,9.0,heading
heading981,284.1,heading
heading982,332.0,heading
heading983,101.7,heading
heading984,223.8,heading
heading985,310.0,heading
heading986,38.9,heading
heading987,252.9,heading
heading988,251.0,heading
heading989,260.9,heading
heading990,290.6,heading
heading991,356.6,heading
heading992,180.1,heading
heading993,25.5,heading
heading994,41.0,heading
heading995,283.5,heading
heading996,198.40001,heading
heading997,62.600002,heading
heading998,336.80002,heading
heading999,217.0,heading
heading1000,303.7,heading
heading1001,158.8,heading
heading1002,44.8,heading
heading1003,294.6,heading
heading1004,158.3,heading
heading1005,16.6,heading
heading1006,90.5,heading
heading1007,134.6,heading
heading1008,316.3,heading
heading1009,271.80002,heading
heading1010,280.8,heading
heading1011,91.0,heading
heading1012,17.6,heading
heading1013,354.9,heading
heading1014,1.1,heading
heading1015,229.2,heading
heading1016,24.6,heading
heading1017,335.2,heading
heading1018,56.3,heading
heading1019,325.80002,heading
heading1020,267.2,heading
heading1021,355.1,heading
heading1022,178.8,heading
heading1023,165.2,heading
heading1024,136.0,heading
heading1025,85.4,heading
heading1026,229.0,heading
heading1027,307.2,heading
heading1028,123.6,heading
heading1029,14.0,heading
heading1030,32.0,heading
heading1031,69.8,heading
heading1032,236.90001,heading
heading1033,230.0,heading
heading1034,294.0,heading
heading1035,40.6,heading
heading1036,74.4,heading
heading1037,251.1,heading
heading1038,31.5,heading
heading1039,238.3,heading
heading1040,138.2,heading
heading1041,238.7,heading
heading1042,131.2,heading
heading1043,82.7,heading
heading1044,61.7,heading
heading1045,288.1,heading
heading1046,300.4,heading
heading1047,150.40001,heading
heading1048,304.0,heading
heading1049,162.0,heading
heading1050,320.6,heading
heading1051,196.0,heading
heading1052,55.4,heading
heading1053,134.2,heading
heading1054,248.1,heading
heading1055,168.3,heading
heading1056,24.4,heading
heading1057,259.4,heading
heading1058,81.0,heading
heading1059,210.2,heading
heading1060,134.0,heading
heading1061,103.1,heading
heading1062,152.7,heading
heading1063,47.9,heading
heading1064,0.0,heading
heading1065,293.1,heading
heading1066,157.6,heading
heading1067,347.9,heading
heading1068,14.3,heading
heading1069,331.5,heading
heading1070,164.2,heading
heading1071,43.7,heading
heading1072,353.5,heading
heading1073,1.1,heading
heading1074,164.0,heading
heading1075,249.8,heading
heading1076,127.6,heading
heading1077,12.4,heading
heading1078,15.3,heading
heading1079,297.2,heading
heading1080,330.1,heading
heading1081,270.0,heading
heading1082,324.0,heading
heading1083,345.1,heading
heading1084,20.5,heading
heading1085,119.700005,heading
heading1086,167.0,heading
heading1087,260.80002,heading
heading1088,104.0,heading
heading1089,352.4,heading
heading1090,195.0,heading
heading1091,145.4,heading
heading1092,41.0,heading
heading1093,172.2,heading
heading1094,15.3,heading
heading1095,333.2,heading
heading1096,82.4,heading
heading1097,205.0,heading
heading1098,307.0,heading
heading1099,88.0,heading
heading1100,304.6,heading
heading1101,236.7,heading
heading1102,21.0,heading
heading1103,137.6,heading
heading1104,330.0,heading
heading1105,305.3,heading
heading1106,182.2,heading
heading1107,49.7,heading
heading1108,274.7,heading
heading1109,68.9,heading
heading1110,257.5,heading
heading1111,360.0,heading
heading1112,163.3,heading
heading1113,251.90001,heading
heading1114,323.0,heading
heading1115,282.0,heading
heading1116,25.0,heading
heading1117,3.9,heading
heading1118,0.0,heading
heading1119,264.6,heading
heading1120,227.5,heading
heading1121,215.6,heading
heading1122,34.0,heading
heading1123,189.3,heading
heading1124,33.8,heading
heading1125,0.0,heading
heading1126,141.7,heading
heading1127,79.7,heading
heading1128,202.0,heading
heading1129,199.6,heading
heading1130,19.0,heading
heading1131,195.2,heading
heading1132,212.7,heading
heading1133,337.0,heading
heading1134,356.0,heading
heading1135,49.3,heading
heading1136,287.9,heading
heading1137,223.1,heading
heading1138,109.3,heading
heading1139,235.7,heading
heading1140,335.3,heading
heading1141,334.4,heading
heading1142,194.5,heading
heading1143,253.3,heading
heading1144,48.0,heading
heading1145,225.2,heading
heading1146,307.0,heading
heading1147,191.2,heading
heading1148,326.0,heading
heading1149,275.3,heading
heading1150,262.0,heading
heading1151,102.2,heading
heading1152,4.6,heading
heading1153,318.30002,heading
heading1154,320.0,heading
heading1155,13.5,heading
heading1156,182.5,heading
heading1157,235.1,heading
heading1158,247.7,heading
heading1159,33.0,heading
heading1160,173.0,heading
heading1161,272.0,heading
heading1162,190.0,heading
heading1163,284.1,heading
heading1164,79.0,heading
heading1165,305.5,heading
heading1166,65.4,heading
heading1167,350.0,heading
heading1168,103.200005,heading
heading1169,330.9,heading
heading1170,359.30002,heading
heading1171,234.9,heading
heading1172,91.9,heading
heading1173,4.1,heading
heading1174,306.3,heading
heading1175,193.0,heading
heading1176,244.6,heading
heading1177,98.2,heading
heading1178,126.0,heading
heading1179,169.90001,heading
heading1180,254.3,heading
heading1181,95.1,heading
heading1182,39.9,heading
heading1183,351.2,heading
heading1184,359.0,heading
heading1185,266.0,heading
heading1186,87.8,heading
heading1187,168.5,heading
heading1188,0.1,heading
heading1189,57.5,heading
heading1190,356.8,heading
heading1191,303.2,heading
heading1192,120.9,heading
heading1193,36.8,heading
heading1194,96.5,heading
heading1195,327.4,heading
heading1196,10.2,heading
heading1197,244.2,heading
heading1198,209.2,heading
heading1199,160.3,heading
heading1200,60.1,heading
heading1201,6.2,heading
heading1202,123.0,heading
heading1203,266.6,heading
heading1204,277.8,heading
heading1205,349.2,heading
heading1206,55.3,heading
heading1207,268.0,heading
heading1208,65.3,heading
heading1209,10.5,heading
heading1210,66.6,heading
heading1211,89.1,heading
heading1212,39.5,heading
heading1213,207.6,heading
heading1214,9.1,heading
heading1215,65.5,heading
heading1216,234.0,heading
heading1217,27.5,heading
heading1218,278.6,heading
heading1219,193.4,heading
heading1220,43.0,heading
heading1221,0.2,heading
heading1222,294.9,heading
heading1223,212.1,heading
heading1224,269.0,heading
heading1225,6.7,heading
heading1226,63.0,heading
heading1227,139.9,heading
heading1228,176.6,heading
heading1229,172.0,heading
heading1230,150.3,heading
heading1231,231.7,heading
heading1232,76.5,heading
heading1233,154.8,heading
heading1234,192.2,heading
heading1235,169.0,heading
heading1236,93.9,heading
heading1237,20.2,heading
